propertyCode,propertyType,municipality,status,numPhotos,rooms,bathrooms,floor,size,priceByArea,parkingSpacePrice,exterior,hasVideo,hasPlan,has3DTour,has360,hasLift,isFinished,hasParkingSpace,isParkingSpaceIncludedInPrice,latitude,longitude,price
95589671,duplex,La Pobla de Vallbona,good,33,4,2,3,130.0,7.0,0.0,True,False,False,False,False,True,True,True,True,39.588726,-0.5505545,850.0
98128978,flat,Torrent,good,56,3,1,1,110.0,6.0,0.0,True,True,True,False,False,False,True,True,True,39.4201621,-0.4875831,700.0
98053824,chalet,Paterna,good,26,4,3,0,351.0,6.0,0.0,False,False,False,False,False,False,True,True,True,39.5278448,-0.4909945,2200.0
98083592,penthouse,València,good,29,1,2,7,70.0,23.0,0.0,True,True,True,False,False,True,True,False,False,39.4724376,-0.3676025,1600.0
85239156,flat,València,good,39,4,2,12,168.0,12.0,0.0,True,True,True,False,False,True,True,True,True,39.4506807,-0.361081,2000.0
97986520,flat,València,good,30,4,2,5,119.0,14.0,0.0,True,False,True,False,False,True,True,False,False,39.4774571,-0.3504861,1700.0
97915633,chalet,Silla,good,33,3,2,3,110.0,9.0,0.0,False,True,False,False,False,False,True,True,True,39.3632846,-0.4127058,1000.0
95162053,flat,Alboraya,good,16,2,1,2,75.0,12.0,0.0,True,False,False,False,False,True,True,True,True,39.4879752,-0.3278767,900.0
96661829,flat,València,good,20,2,1,8,73.0,12.0,0.0,True,True,True,True,False,True,True,False,False,39.4887915,-0.3682221,850.0
40559790,flat,València,good,9,2,2,1,60.0,25.0,0.0,True,False,False,False,False,False,True,False,False,39.4672886,-0.326496,1500.0
98311567,flat,València,good,27,3,2,4,110.0,8.0,0.0,True,False,False,False,False,True,True,False,False,39.4617631,-0.3736768,900.0
98305270,penthouse,València,good,15,3,2,6,153.0,15.0,0.0,True,False,False,False,False,True,True,False,False,39.4668322,-0.3701612,2350.0
98296716,flat,València,good,17,4,2,3,100.0,11.0,0.0,True,True,False,False,False,True,True,False,False,39.4724358,-0.3487106,1100.0
81709938,flat,València,good,10,3,2,4,100.0,10.0,0.0,True,False,False,False,False,True,True,False,False,39.4669742,-0.3885162,999.0
92279100,flat,València,good,18,3,2,1,110.0,8.0,0.0,True,True,False,False,False,True,True,False,False,39.4619958,-0.3508059,899.0
87753601,flat,València,good,20,2,1,3,101.0,17.0,0.0,True,False,False,False,False,True,True,False,False,39.4743386,-0.3698353,1750.0
85619674,flat,València,good,12,1,1,4,50.0,17.0,0.0,False,False,True,False,False,True,True,False,False,39.4669312,-0.3822171,825.0
