propertyCode,numPhotos,floor,price,propertyType,size,exterior,rooms,bathrooms,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,newDevelopmentFinished,hasParkingSpace,isParkingSpaceIncludedInPrice,parkingSpacePrice,cluster_label
98034998,9,6,1100.0,penthouse,90.0,True,3,2,False,good,False,True,12.0,False,False,False,False,False,True,False,False,0.0,0
98034988,16,4,725.0,flat,75.0,True,2,1,False,good,False,True,10.0,False,False,False,False,False,True,False,False,0.0,0
98034938,7,9,1250.0,flat,80.0,True,3,1,False,good,False,True,16.0,True,False,False,False,False,True,False,False,0.0,0
98034841,20,3,1600.0,flat,193.0,True,4,1,False,good,False,True,8.0,False,False,False,False,False,True,False,False,0.0,0
90753958,25,3,1100.0,flat,119.0,True,2,2,False,good,False,True,9.0,False,False,False,False,False,True,False,False,0.0,0
98034394,35,3,1500.0,flat,176.0,True,5,3,False,good,False,True,9.0,True,False,False,False,False,True,False,False,0.0,0
97963468,32,3,1100.0,flat,107.0,True,3,2,False,good,False,True,10.0,True,False,False,False,False,True,True,True,0.0,0
37962736,12,1,550.0,flat,93.0,True,2,2,True,good,False,True,6.0,False,False,False,False,False,True,False,False,0.0,1
97995773,18,7,2000.0,flat,186.0,True,6,3,False,good,False,True,11.0,False,False,False,False,False,True,False,False,0.0,0
97972899,47,0,850.0,chalet,126.0,False,3,3,False,good,False,False,7.0,False,False,False,False,False,True,False,False,0.0,3
97959043,35,5,1800.0,flat,150.0,True,4,2,False,good,False,True,12.0,False,False,False,False,False,True,False,False,0.0,0
97902134,46,10,1850.0,penthouse,176.0,True,4,3,False,good,False,True,11.0,False,False,False,False,False,True,True,True,0.0,0
97877144,15,4,900.0,flat,65.0,True,1,1,False,good,False,True,14.0,False,False,False,False,False,True,False,False,0.0,0
97875466,16,1,1300.0,chalet,55.0,False,1,1,False,good,False,False,24.0,True,False,False,False,False,True,False,False,0.0,0
97852734,21,1,1500.0,flat,78.0,True,3,2,False,good,False,True,19.0,True,False,False,False,False,True,False,False,0.0,0
97845456,17,0,1250.0,chalet,213.0,False,3,2,False,good,False,False,6.0,False,False,False,False,False,True,False,False,0.0,3
97840162,38,2,4000.0,flat,215.0,True,4,3,False,good,False,True,19.0,True,False,False,False,False,True,True,True,0.0,0
97817838,21,3,1200.0,flat,76.0,True,2,1,False,good,False,True,16.0,False,False,False,False,False,True,False,False,0.0,0
97811755,83,3,740.0,flat,86.0,True,3,1,False,good,False,False,9.0,False,False,False,False,False,True,False,False,0.0,0
97800318,9,9,2200.0,flat,107.0,True,3,2,False,good,False,False,21.0,False,False,False,False,False,True,True,True,0.0,1
97800010,14,2,1350.0,flat,50.0,True,1,1,False,good,False,True,27.0,False,False,False,False,False,True,False,False,0.0,0
97797253,57,13,3500.0,flat,100.0,True,3,3,False,good,False,True,35.0,False,False,False,False,False,True,True,True,0.0,0
97796477,17,6,3000.0,flat,130.0,True,3,2,False,good,False,True,23.0,False,False,False,False,False,True,False,False,0.0,0
97785267,19,3,1500.0,penthouse,61.0,True,2,1,False,good,False,True,25.0,False,False,False,False,False,True,False,False,0.0,0
97784804,44,3,1600.0,flat,122.0,True,3,2,False,good,False,True,13.0,False,False,False,False,False,True,False,False,0.0,0
97770213,13,0,2200.0,flat,81.0,True,2,1,False,good,False,False,27.0,False,False,False,False,False,True,False,False,0.0,0
97747767,14,1,3000.0,flat,100.0,True,3,2,False,good,False,True,30.0,False,False,False,False,False,True,True,True,0.0,3
97711411,33,2,1800.0,flat,124.0,True,2,2,False,good,False,True,15.0,True,False,False,False,False,True,False,False,0.0,0
97706041,26,5,2000.0,flat,50.0,True,2,2,False,good,False,False,40.0,False,False,False,False,False,True,False,False,0.0,0
97674428,22,3,2500.0,flat,100.0,True,4,2,False,good,False,True,25.0,False,False,False,False,False,True,True,True,0.0,3
97657082,30,0,2500.0,chalet,278.0,False,3,3,False,good,False,False,9.0,False,False,False,False,False,True,True,True,0.0,2
97564178,15,9,2200.0,penthouse,150.0,True,2,2,False,good,False,False,15.0,False,False,False,False,False,True,False,False,0.0,0
97497229,8,4,2100.0,flat,112.0,True,4,2,False,good,False,True,19.0,False,False,False,False,False,True,True,True,0.0,0
97491721,14,1,1300.0,flat,80.0,True,2,2,False,good,False,True,16.0,False,False,False,False,False,True,True,True,0.0,3
97474789,47,0,4000.0,flat,200.0,True,2,3,False,good,False,True,20.0,True,False,False,False,False,True,False,False,0.0,0
97410492,15,0,1500.0,chalet,150.0,False,4,2,False,good,False,False,10.0,False,False,False,False,False,True,False,False,0.0,3
97365829,42,0,2500.0,studio,200.0,True,0,1,False,good,False,False,13.0,False,False,False,False,False,True,False,False,0.0,0
97365209,65,0,3000.0,chalet,300.0,False,3,3,False,good,False,False,10.0,False,False,False,False,False,True,True,True,0.0,3
97302409,21,0,2400.0,chalet,100.0,False,4,1,False,good,False,False,24.0,False,False,False,False,False,True,True,True,0.0,1
97302166,35,7,1200.0,penthouse,60.0,True,1,1,False,good,False,True,20.0,True,False,False,False,False,True,True,True,0.0,0
97287349,37,3,1300.0,flat,110.0,True,4,2,False,good,False,True,12.0,False,False,False,False,False,True,False,False,0.0,0
97285364,49,4,2200.0,studio,120.0,True,0,2,False,good,False,True,18.0,False,False,False,False,False,True,True,True,0.0,0
97271018,18,2,1400.0,flat,60.0,True,1,1,False,good,False,True,23.0,False,False,False,False,False,True,False,False,0.0,0
97253914,33,2,2800.0,flat,133.0,True,3,2,False,good,False,True,21.0,False,False,False,False,False,True,False,False,0.0,0
97138831,8,2,1600.0,flat,60.0,True,2,2,False,good,False,True,27.0,False,False,False,False,False,True,False,False,0.0,0
97079850,68,5,1800.0,flat,130.0,True,3,2,False,good,False,True,14.0,True,False,False,False,False,True,True,True,0.0,0
97006912,40,0,4000.0,chalet,509.0,False,3,2,False,good,False,False,8.0,False,False,False,False,False,True,False,False,0.0,2
96978156,30,1,1600.0,flat,112.0,True,3,1,False,good,False,True,14.0,False,False,False,False,False,True,False,False,0.0,0
96954204,27,5,1200.0,flat,100.0,True,3,1,False,good,False,True,12.0,False,False,False,False,False,True,False,False,0.0,0
96953157,45,4,2200.0,flat,116.0,True,2,2,False,good,False,True,19.0,False,False,False,False,False,True,True,True,0.0,0
96924808,46,0,2800.0,chalet,237.0,False,4,3,False,good,False,False,12.0,False,False,False,False,False,True,True,True,0.0,2
96875928,3,0,1000.0,flat,60.0,True,1,1,False,good,False,False,17.0,False,False,False,False,False,True,False,False,0.0,0
96831479,29,2,1050.0,flat,156.0,True,3,2,False,good,False,True,7.0,False,False,False,False,False,True,False,False,0.0,0
96694381,17,1,950.0,studio,80.0,True,0,2,False,good,False,True,12.0,False,False,False,False,False,True,True,True,0.0,0
96396854,9,1,1800.0,flat,65.0,True,2,1,False,good,False,True,28.0,False,False,False,False,False,True,True,True,0.0,0
96396593,7,3,1800.0,flat,65.0,True,2,1,False,good,False,True,28.0,False,False,False,False,False,True,True,True,0.0,0
96279747,49,0,10000.0,chalet,1200.0,False,8,11,False,good,False,False,8.0,False,False,False,False,False,True,True,True,0.0,0
96120795,2,1,1500.0,flat,50.0,True,1,1,False,good,False,True,30.0,False,False,False,False,False,True,False,False,0.0,0
96098244,21,0,1300.0,flat,78.0,True,1,2,False,good,False,False,17.0,False,False,False,False,False,True,False,False,0.0,0
96068088,30,3,2500.0,flat,307.0,True,5,4,False,good,False,True,8.0,False,False,False,False,False,True,False,False,0.0,0
89976715,11,1,750.0,flat,75.0,True,1,1,False,good,False,True,10.0,False,False,False,False,False,True,False,False,0.0,0
95777910,80,7,4000.0,flat,194.0,True,3,2,False,good,False,True,21.0,False,False,False,False,False,True,True,True,0.0,0
95751497,26,8,3500.0,penthouse,124.0,True,2,1,False,good,False,True,28.0,False,False,False,False,False,True,False,False,0.0,0
95668208,14,2,2500.0,penthouse,100.0,True,3,1,False,good,False,False,25.0,False,False,False,False,False,True,False,False,0.0,0
95432631,2,0,1500.0,flat,50.0,True,1,1,False,good,False,False,30.0,False,False,False,False,False,True,False,False,0.0,0
94441024,8,1,2500.0,flat,65.0,True,2,1,False,good,False,False,38.0,False,False,False,False,False,True,True,True,0.0,3
94288726,26,3,2500.0,flat,110.0,True,2,2,False,good,False,True,23.0,False,False,False,False,False,True,True,True,0.0,0
94124780,30,1,1500.0,studio,80.0,True,0,1,False,good,False,True,19.0,False,True,False,False,False,True,False,False,0.0,0
93665550,26,4,1400.0,penthouse,82.0,True,1,1,False,good,False,True,17.0,True,False,False,False,False,True,False,False,0.0,0
93577106,36,2,1250.0,flat,180.0,True,4,3,False,good,False,True,7.0,False,False,False,False,False,True,False,False,0.0,3
93496700,52,0,6000.0,chalet,280.0,False,5,5,False,good,False,False,21.0,False,False,False,False,False,True,True,True,0.0,1
93394869,38,0,1500.0,chalet,78.0,False,3,2,False,good,False,False,19.0,False,False,False,False,False,True,False,False,0.0,0
93173760,60,0,3500.0,chalet,358.0,False,4,3,False,good,False,False,10.0,False,False,False,False,False,True,True,True,0.0,3
91090589,37,8,2500.0,penthouse,90.0,True,2,1,False,good,False,True,28.0,False,False,False,False,False,True,False,False,0.0,0
90548861,48,0,1400.0,studio,57.0,True,0,1,False,good,False,False,25.0,False,False,False,False,False,True,True,True,0.0,0
90491648,47,0,1400.0,studio,50.0,True,0,1,False,good,False,False,28.0,False,False,False,False,False,True,True,True,0.0,0
90490512,54,0,1400.0,studio,50.0,True,0,2,False,good,False,False,28.0,False,False,False,False,False,True,True,True,0.0,0
90462879,36,1,1400.0,studio,40.0,True,0,1,False,good,False,False,35.0,False,False,False,False,False,True,True,True,0.0,0
90368221,25,2,1500.0,flat,95.0,True,2,2,False,good,False,False,16.0,False,False,False,False,False,True,False,False,0.0,0
90325278,21,1,1950.0,flat,70.0,True,2,2,False,good,False,True,28.0,True,False,False,False,False,True,False,False,0.0,0
90047304,21,1,1650.0,flat,52.0,True,1,1,False,good,False,True,32.0,True,False,False,False,False,True,False,False,0.0,0
89727388,14,9,2000.0,flat,60.0,True,1,1,False,good,False,True,33.0,False,False,False,False,False,True,False,False,0.0,0
